date,api_name,availability,response_time_ms,error_rate_pct,total_requests,failed_requests
2026-09-15,Payment API,99.96,820,0.35,12000,42
2026-09-16,Payment API,99.72,1850,1.20,11800,142
2026-09-17,Payment API,98.40,2800,3.40,12100,411
2026-09-18,Payment API,99.10,2400,2.10,11900,250
2026-09-19,Payment API,99.92,950,0.40,12300,49
2026-09-20,Customer API,99.85,620,0.22,21000,46
2026-09-21,Customer API,99.78,710,0.30,21400,64
2026-09-20,Policy API,99.20,1750,0.80,8600,69
2026-09-21,Policy API,98.90,2300,1.30,8400,109
2026-09-20,Notification API,99.80,1100,0.45,15000,68
2026-09-21,Notification API,99.65,1350,0.55,15200,84
